Table S3: Norovirus stains used for RdRp P-type analysis ,,,,
P-type|strain name|accession number,,,,
GI.P1|CHA9A004_20110426|KF039733,,,,
GI.P1|Gothenburg|EU085529,,,,
GI.P1|Norwalk|M87661,,,,
GI.P1|SRSV-KY-8989J|L23828,,,,
GI.P2|Leuven|FJ515294,,,,
GI.P2|Southampton|L07418,,,,
GI.P3|CHDC116|JX846929,,,,
GI.P3|ShimizuKK2866|KJ196292,,,,
GI.P3|VA98115|AY038598,,,,
GI.P4|Beijing55169|GQ856475,,,,
GI.P4|Chiba407|AB042808,,,,
GI.P4|Groningen|LN854563,,,,
GI.P5|Siklos-HUN5407|KJ402295,,,,
GI.P6|BS5(Hesse)|AF093797,,,,
GI.P6|14-BC-1|KP027330,,,,
GI.P7|AlbertaEI404|KU311161,,,,
GI.P7|LillaEdet|JN603251,,,,
GI.P8|2008890321|GU299761,,,,
GI.P8|Beijing53671|GQ856462,,,,
GI.P8|KolkataL8775|AB290150,,,,
GI.P8|NagoyaKY531|KJ196298,,,,
GI.P9|CAIQ12110628|KF586507,,,,
GI.P9|Chatellerault709|EF529737,,,,
GI.P9|LillaEdetS7|JN603254,,,,
GI.P9|Vancouver730|HQ637267,,,,
GI.P10|Beijing55042|GQ856473,,,,
GI.P10|DesertShield395|U04469,,,,
GI.P11|Beijing53997|GQ856463,,,,
GI.P11|Beijing55063|GQ856464,,,,
GI.P11|Hiroshima48-938|AB354289,,,,
GII.P12|Sakai-04-179|AB220922,,,,
GI.P12|SzUG1|AB039774,,,,
GI.P12|Yiwu-CB1|MH443711,,,,
GI.P13|Beijing54108|GQ856470,,,,
GI.P13|Beijing54114|GQ856471,,,,
GI.P13|Beijing54660|GQ856472,,,,
GI.P13|Vesoul576|EF529738,,,,
GI.P14|Muenster702|KM289169,,,,
GI.P14|Otofuke|AB187514,,,,
GI.PNA1|WUG1|AB081723,,,,
GI.PNA2|Dhaka1882|MH130046,,,,
GI.PNA3|V170707|AB447414,,,,
GI.PNA4|No20-Saitama-98-17|LC342057,,,,
GI.PNA4|No24-Saitama-98-26|LC342058,,,,
,,,,
GII.P1|Hawaii|U07611,,,,
GII.P1|7EK-Hawaii|JX289822,,,,
GII.P2|Melksham|X81879,,,,
GII.P2|MK04|DQ456824,,,,
GII.P3|MX|U22498,,,,
GII.P3|SaitamaU201|AB039782,,,,
GII.P3|TV24|U02030,,,,
GII.P3|Amsterdam1|KJ194500,,,,
GII.P4|Aomori2|AB447433,,,,
GII.P4|Bristol|X76716,,,,
GII.P4|Camberwell|AF145896,,,,
GII.P4|CGMH09|JN400607,,,,
GII.P4|Chiba04-1008|AB220926,,,,
GII.P4|Chiba04-899|AB220924,,,,
GII.P4|DenHaag89|EF126965,,,,
GII.P4|DenHaag54|EF126962,,,,
GII.P4|Dongen46|EF126961,,,,
GII.P4|FarmingtonHills|AY502023,,,,
GII.P4|Hiroshima1|AB933750,,,,
GII.P4|Hokkaido3|AB933767,,,,
GII.P4|HongKongCU051146|HM802544,,,,
GII.P4|HoustonTCH186|EU310927,,,,
GII.P4|Hunter504D04O|DQ078814,,,,
GII.P4|Inba050590|AB294785,,,,
GII.P4|Isumi060936|AB294790,,,,
GII.P4|Iwate3|AB541272,,,,
GII.P4|Kaiso030556|AB294779,,,,
